# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = normal_model
# start_datetime = 2023-10-02 10:28:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/normal_data_1.json
# init = 2 (Default)
# random
#   seed = 4145551467 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/normal_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_k,sigma_k,Kmat_pred
# Adaptation terminated
# Step size = 0.522476
# Diagonal elements of inverse mass matrix:
# 0.000627102, 1.094
-41.0239,0.864252,0.522476,3,7,0,41.3842,146.318,1.5778,146.127
-41.7155,0.970636,0.522476,2,7,0,42.0981,152.482,14.3039,170.198
-42.5632,0.947936,0.522476,2,3,0,43.1256,156.191,6.3062,152.694
-42.0178,0.614441,0.522476,2,3,0,44.8938,153.84,14.6559,115.502
-40.4856,1,0.522476,2,3,0,42.083,148.211,2.62313,147.078
-43.8158,0.814591,0.522476,2,3,0,44.541,154.198,21.6159,140.614
-41.4257,1,0.522476,2,3,0,42.8427,153.677,11.6972,146.642
-42.4408,0.463875,0.522476,2,3,0,44.338,156.47,7.71213,160.387
-41.2337,1,0.522476,2,3,0,42.4423,152.583,11.9669,160.136
-40.0963,1,0.522476,2,7,0,41.5497,147.512,4.24045,148.583
-40.7283,0.934412,0.522476,3,7,0,41.3983,149.283,2.28367,151.202
-41.95,0.979237,0.522476,3,7,0,42.0869,143.461,1.33414,143.63
-41.5693,1,0.522476,2,3,0,42.2343,145.765,0.986829,147.028
-41.0709,0.828804,0.522476,2,7,0,44.4338,153.457,8.56438,143.345
-40.3376,0.763679,0.522476,2,3,0,42.27,148.7,3.25836,153.386
-40.1227,0.995349,0.522476,2,5,0,40.4136,146.819,4.25158,149.202
-40.022,0.991992,0.522476,3,7,0,40.4219,146.774,7.01223,147.456
-40.0491,0.993583,0.522476,1,1,0,40.0519,146.759,7.41725,151.03
-40.279,0.987913,0.522476,2,3,0,40.3041,145.078,5.00205,143.159
-40.7405,0.967258,0.522476,2,3,0,40.8581,144.325,3.4006,147.532
-40.2498,0.98386,0.522476,2,7,0,41.0466,148.111,9.30577,150.395
-40.6883,0.925252,0.522476,3,7,0,40.7963,145.527,2.57776,142.434
-40.1693,0.999941,0.522476,3,7,0,40.9575,149.062,4.32411,153.446
-39.9959,0.977157,0.522476,3,7,0,40.7121,148.321,6.85086,148.094
-40.1449,0.953228,0.522476,2,7,0,40.3943,145.679,5.31592,145.936
-40.4762,0.980759,0.522476,2,3,0,40.5767,144.195,8.16416,137.724
-40.1352,1,0.522476,2,3,0,40.4559,145.621,5.68083,145.168
-40.4271,0.958783,0.522476,3,7,0,41.3003,151.088,8.24729,138.085
-40.9663,0.910238,0.522476,2,3,0,41.658,153.117,7.12979,154.208
-40.0449,0.981649,0.522476,2,7,0,41.6823,146.251,6.40346,141.952
-40.2788,0.989783,0.522476,2,7,0,40.3489,150.631,6.25241,148.287
-41.3955,0.950982,0.522476,2,7,0,41.7281,141.743,5.13739,143.305
-41.8721,0.989642,0.522476,3,7,0,42.6792,153.513,3.22997,157.068
-41.1141,1,0.522476,3,7,0,41.9999,151.191,12.4573,150.464
-41.505,0.996351,0.522476,3,7,0,41.6107,143.923,1.74557,143.353
-40.8618,1,0.522476,2,3,0,41.6495,144.513,2.79155,140.708
-40.2417,0.994399,0.522476,3,7,0,41.0332,150.323,5.64547,155.63
-40.5844,0.879144,0.522476,2,7,0,42.1156,147.024,10.9712,157.141
-41.5381,0.774157,0.522476,2,3,0,41.7356,147.35,14.7463,145.425
-40.8414,1,0.522476,3,7,0,41.2965,148.674,1.86112,150.408
-41.7763,0.901306,0.522476,2,7,0,43.1483,147.714,0.677671,147.641
-40.0459,0.903432,0.522476,2,7,0,42.7314,149.027,6.95177,158.186
-40.2328,0.916513,0.522476,2,3,0,40.604,149.13,8.89148,147.123
-40.5772,0.975302,0.522476,1,3,0,41.2027,151.724,8.42657,151.567
-40.868,0.917794,0.522476,2,3,0,41.0649,150.724,11.5815,146.811
-41.6589,0.621708,0.522476,3,7,0,43.1821,140.922,6.02193,140.092
-40.5551,0.960763,0.522476,3,7,0,42.6512,146.599,2.51246,146.797
-40.537,0.991223,0.522476,2,7,0,40.8971,148.296,2.49156,145.908
-40.0317,0.991595,0.522476,1,3,0,40.9387,148.028,4.83001,145.488
-40.0369,0.99024,0.522476,3,7,0,40.1991,146.445,5.54738,142.15
-40.0482,0.941906,0.522476,3,7,0,40.6787,148.621,7.4906,149.755
-40.0089,0.976846,0.522476,2,7,0,40.4736,146.994,5.29133,154.549
-40.1636,0.992148,0.522476,2,3,0,40.1944,145.496,5.50175,143.441
-40.4383,0.98923,0.522476,2,3,0,40.4528,144.338,8.07812,143.742
-40.289,0.996086,0.522476,2,7,0,40.6491,150.106,4.68382,137.313
-40.0213,0.976521,0.522476,3,7,0,41.1852,148.884,5.95392,146.884
-40.4073,0.972708,0.522476,2,3,0,40.5228,151.236,7.0382,170.624
-42.6071,0.904381,0.522476,2,3,0,42.655,157.206,9.47943,150.4
-41.1606,0.761459,0.522476,2,3,0,43.3736,153.56,9.68102,144.031
-41.012,1,0.522476,2,3,0,41.17,153.296,8.2907,154.372
-42.2424,0.961369,0.522476,2,7,0,42.9838,156.328,11.9871,149.328
-40.8653,0.611506,0.522476,2,7,0,46.2137,151.607,3.78721,149.358
-40.0787,1,0.522476,2,7,0,40.8662,145.992,6.63873,139.623
-40.2533,0.853425,0.522476,2,3,0,41.0213,148.078,9.3307,138.655
-41.6558,0.756263,0.522476,3,7,0,41.8141,151.234,1.48005,150.4
-41.2863,0.954429,0.522476,2,7,0,42.079,146.866,1.14078,147.84
-41.1791,0.998882,0.522476,3,7,0,41.8201,148.013,1.24986,147.335
-41.3597,0.93869,0.522476,2,7,0,41.9482,144.025,1.95036,146.591
-40.6656,1,0.522476,2,3,0,41.3965,146.607,2.22443,146.277
-40.2505,0.98531,0.522476,2,7,0,40.8253,147.292,3.42358,145.61
-40.6798,0.94663,0.522476,2,7,0,41.5004,150.251,2.97621,154.943
-40.2373,0.915822,0.522476,2,3,0,41.2303,147.763,9.24124,158.301
-40.6096,0.896335,0.522476,2,7,0,41.328,151.999,6.90024,150.641
-40.9414,0.966193,0.522476,2,3,0,40.9681,152.648,5.45931,161.288
-40.7684,0.971214,0.522476,2,3,0,41.5106,151.135,10.7829,159.455
-41.0088,0.915834,0.522476,2,3,0,41.5629,152.967,5.90377,154.724
-40.3578,0.994025,0.522476,2,3,0,41.1878,150.388,4.62262,149.764
-41.5501,0.913814,0.522476,2,3,0,41.985,152.435,2.65569,155.162
-40.1933,0.972946,0.522476,2,3,0,42.0489,150.146,7.14572,159.768
-40.5211,0.987271,0.522476,3,7,0,40.7323,143.769,6.45322,154.688
-40.2085,0.957679,0.522476,2,5,0,41.4172,149.915,7.95189,147.59
-40.4926,0.740148,0.522476,2,7,0,41.8765,149.226,2.93032,148.394
-40.5373,0.986959,0.522476,3,7,0,40.6785,146.062,2.75617,146.004
-40.9504,0.978362,0.522476,2,3,0,41.0607,144.667,2.42162,143.952
-40.1475,0.964377,0.522476,1,3,0,41.713,147.295,3.9425,152.107
-40.0416,0.998076,0.522476,3,7,0,40.2297,149.093,6.62023,146.098
-39.995,0.999513,0.522476,3,7,0,40.0671,148.504,5.84943,161.131
-39.995,0.738181,0.522476,1,3,0,42.4721,148.504,5.84943,144.977
-40.4266,0.933843,0.522476,3,7,0,40.7197,146.142,9.90376,144.936
-40.3282,1,0.522476,3,7,0,40.463,147.846,3.09761,143.222
