# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = AnnexJ_model
# start_datetime = 2023-10-02 19:46:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/AnnexJ_data_1.json
# init = 2 (Default)
# random
#   seed = 4179057733 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/AnnexJ_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_MPa_m_pred,mu_pred
# Adaptation terminated
# Step size = 0.850738
# Diagonal elements of inverse mass matrix:
# 0.00619975
-159.075,0.889885,0.850738,1,1,0,159.093,46.4065,21.0975,73.1113
-157.326,0.996918,0.850738,2,7,0,158.792,38.32,35.9461,73.1113
-157.331,0.999132,0.850738,1,1,0,157.346,38.2869,36.0531,73.1113
-157.248,1,0.850738,3,7,0,157.316,40.1292,112.23,73.1113
-157.607,0.866677,0.850738,2,3,0,158.541,37.0334,103.094,73.1113
-157.315,0.945836,0.850738,1,3,0,158.191,40.9143,40.338,73.1113
-157.256,0.9849,0.850738,1,3,0,157.453,39.0107,83.6935,73.1113
-157.238,1,0.850738,2,7,0,157.253,39.8095,87.2943,73.1113
-157.249,0.992354,0.850738,2,3,0,157.301,40.1421,73.1922,73.1113
-157.534,0.967263,0.850738,3,7,0,157.562,42.1811,77.7399,73.1113
-157.761,0.963851,0.850738,1,1,0,157.767,43.0674,56.019,73.1113
-157.488,1,0.850738,1,1,0,157.717,41.9683,12.6241,73.1113
-157.483,0.999591,0.850738,2,7,0,157.502,37.4921,125.542,73.1113
-157.321,0.999863,0.850738,3,7,0,157.458,38.3586,54.5077,73.1113
-157.356,0.951244,0.850738,1,3,0,157.738,41.2246,47.6629,73.1113
-157.485,0.977543,0.850738,2,3,0,157.622,41.9516,19.1459,73.1113
-157.774,0.896697,0.850738,3,7,0,158.557,36.5325,65.5891,73.1113
-157.401,0.997341,0.850738,2,7,0,157.773,41.5054,67.4113,73.1113
-157.379,1,0.850738,1,1,0,157.415,41.3704,113.72,73.1113
-157.352,0.951109,0.850738,1,3,0,157.857,38.1478,68.3412,73.1113
-157.248,0.984367,0.850738,1,3,0,157.486,40.1247,61.1641,73.1113
-157.236,0.99749,0.850738,2,3,0,157.272,39.6386,82.673,73.1113
-158.088,0.915242,0.850738,2,3,0,158.122,35.789,59.9763,73.1113
-157.312,0.994323,0.850738,2,3,0,158.155,38.421,109.469,73.1113
-157.29,1,0.850738,1,1,0,157.312,38.6139,73.393,73.1113
-157.651,0.961085,0.850738,2,7,0,157.668,42.665,147.343,73.1113
-157.66,0.864139,0.850738,1,3,0,159.251,36.8623,2.25642,73.1113
-157.274,0.940432,0.850738,2,3,0,158.302,40.5121,83.0967,73.1113
-157.393,0.987789,0.850738,2,7,0,157.406,37.9146,109.222,73.1113
-157.413,0.923908,0.850738,1,3,0,158.053,41.5749,72.2372,73.1113
-157.685,0.977729,0.850738,3,7,0,157.694,42.7954,35.6048,73.1113
-157.659,0.942784,0.850738,3,7,0,158.33,42.6969,121.282,73.1113
-157.505,1,0.850738,1,1,0,157.645,42.0491,39.2842,73.1113
-157.471,1,0.850738,1,1,0,157.528,41.8828,-64.9938,73.1113
-157.279,0.999326,0.850738,2,7,0,157.453,38.7138,61.2165,73.1113
-157.39,0.770912,0.850738,3,7,0,159.277,37.9298,47.6797,73.1113
-157.335,0.646345,0.850738,2,3,0,161.617,38.2613,79.2727,73.1113
-157.375,0.992541,0.850738,1,1,0,157.383,38.0111,40.7538,73.1113
-158.393,0.697204,0.850738,1,3,0,160.146,44.8822,-6.34277,73.1113
-158.332,1,0.850738,1,1,0,158.539,44.7278,138.27,73.1113
-158.965,0.908523,0.850738,1,1,0,158.999,46.177,169.366,73.1113
-158.218,1,0.850738,1,1,0,158.864,44.4355,144.407,73.1113
-157.777,1,0.850738,1,1,0,158.156,43.1234,75.0184,73.1113
-157.349,0.988694,0.850738,3,7,0,157.849,41.1754,74.1692,73.1113
-157.283,0.9739,0.850738,1,3,0,157.606,38.678,38.1639,73.1113
-157.266,1,0.850738,1,1,0,157.282,38.862,8.85509,73.1113
-157.237,0.999216,0.850738,1,3,0,157.273,39.5305,117.799,73.1113
-157.237,0.99923,0.850738,3,7,0,157.243,39.5203,45.2754,73.1113
-158.993,0.836912,0.850738,2,3,0,159.097,34.2828,89.1808,73.1113
-158.968,1,0.850738,3,7,0,158.997,34.3169,87.1445,73.1113
-158.021,0.985001,0.850738,3,7,0,159.173,43.8893,76.864,73.1113
-157.236,0.964088,0.850738,1,3,0,158.421,39.5684,51.3472,73.1113
-157.305,0.986384,0.850738,1,3,0,157.338,38.4816,105.649,73.1113
-157.267,1,0.850738,1,1,0,157.298,38.8565,122.841,73.1113
-158.189,0.782745,0.850738,1,3,0,159.2,44.3564,16.3292,73.1113
-157.362,0.996501,0.850738,2,7,0,158.088,38.0849,122.695,73.1113
-158.426,0.870199,0.850738,2,3,0,158.768,35.1492,71.281,73.1113
-158.452,0.994683,0.850738,1,1,0,158.678,35.105,23.6078,73.1113
-158.734,0.987788,0.850738,2,7,0,158.745,45.6791,108.518,73.1113
-158.285,1,0.850738,1,1,0,158.722,44.609,123.46,73.1113
-158.037,1,0.850738,2,3,0,158.309,43.9349,58.953,73.1113
-158.634,0.912063,0.850738,1,1,0,158.646,45.4527,152.55,73.1113
-158.755,0.993972,0.850738,2,3,0,158.937,45.7251,56.5238,73.1113
-159.136,0.969653,0.850738,3,7,0,159.202,34.0921,137.33,73.1113
-159.408,0.942517,0.850738,1,1,0,159.72,33.7515,64.2479,73.1113
-160.592,0.766557,0.850738,1,1,0,160.793,32.5178,122.764,73.1113
-158.971,0.963495,0.850738,2,7,0,161.112,46.1901,102.965,73.1113
-157.236,1,0.850738,2,3,0,158.69,39.6476,70.3507,73.1113
-157.323,0.990629,0.850738,2,3,0,157.325,38.3387,42.9195,73.1113
-157.432,0.9275,0.850738,1,3,0,157.923,41.6813,85.0561,73.1113
-157.561,0.978915,0.850738,1,1,0,157.567,42.3018,40.8882,73.1113
-157.25,0.992241,0.850738,1,3,0,157.607,40.1565,83.9325,73.1113
-157.915,0.883857,0.850738,1,3,0,158.194,43.5708,131.735,73.1113
-158.507,0.912026,0.850738,1,1,0,158.512,45.1575,68.9199,73.1113
-157.471,0.825483,0.850738,2,7,0,160.503,37.5428,72.9345,73.1113
-157.855,0.953879,0.850738,2,7,0,157.973,43.3811,18.9577,73.1113
-158.045,0.97059,0.850738,1,1,0,158.094,43.9569,71.9409,73.1113
-157.258,1,0.850738,2,7,0,157.909,38.9739,61.7212,73.1113
-157.263,0.999091,0.850738,1,1,0,157.266,38.9034,76.7827,73.1113
-157.324,0.970628,0.850738,1,3,0,157.508,40.989,61.4622,73.1113
-157.849,0.862167,0.850738,2,7,0,158.715,36.3363,142.166,73.1113
-159.374,0.835817,0.850738,2,7,0,159.683,47.0007,41.4163,73.1113
-158.397,1,0.850738,1,1,0,159.235,44.8904,131.025,73.1113
-158.072,1,0.850738,1,1,0,158.398,44.0338,112.51,73.1113
-157.946,1,0.850738,1,1,0,158.13,43.6663,41.1061,73.1113
-157.978,0.995035,0.850738,1,1,0,158.083,43.7616,59.0658,73.1113
-158.341,0.94513,0.850738,1,1,0,158.375,44.7513,22.29,73.1113
-159.576,0.91368,0.850738,3,7,0,159.642,47.3841,144.056,73.1113
-157.527,0.986064,0.850738,2,7,0,159.329,37.3168,99.2609,73.1113
-157.904,0.776775,0.850738,2,7,0,159.585,43.5358,69.5631,73.1113
-157.713,1,0.850738,1,1,0,157.904,42.8964,100.336,73.1113
-157.254,0.90131,0.850738,3,7,0,158.684,39.0388,44.5477,73.1113
-157.404,0.981436,0.850738,2,3,0,157.442,37.857,-0.92657,73.1113
-157.269,0.975664,0.850738,1,3,0,157.659,40.4506,42.0958,73.1113
-157.259,1,0.850738,1,1,0,157.268,40.3078,30.7499,73.1113
-157.523,0.926603,0.850738,1,3,0,157.858,37.3335,33.788,73.1113
-157.561,0.924899,0.850738,3,7,0,158.205,37.1907,77.9176,73.1113
-157.253,0.966642,0.850738,1,3,0,157.85,40.2226,108.842,73.1113
