iteration,chain,sigma,Kmat_pred_ksi,mu_pred
198,2,7.13666,122.498,135.185
199,2,7.4933,137.352,135.185
200,2,4.90963,134.65,135.185
201,2,5.97753,136.506,135.185
202,2,5.91383,139.496,135.185
203,2,6.12034,126.313,135.185
204,2,6.07053,132.394,135.185
205,2,5.10068,137.914,135.185
206,2,4.61919,126.593,135.185
207,2,4.88504,134.088,135.185
208,2,7.08917,140.369,135.185
209,2,6.92336,131.206,135.185
210,2,7.47272,124.83,135.185
211,2,5.74615,136.163,135.185
212,2,6.27472,131.002,135.185
213,2,6.11677,138.869,135.185
214,2,6.11677,146.425,135.185
215,2,6.93087,133.69,135.185
216,2,7.32634,128.598,135.185
217,2,7.39399,133.879,135.185
218,2,6.73738,137.475,135.185
219,2,6.05709,132.224,135.185
220,2,5.11479,141.681,135.185
221,2,5.38201,124.751,135.185
222,2,5.8542,125.232,135.185
223,2,5.85136,133.15,135.185
224,2,5.90696,126.755,135.185
225,2,6.97441,124.7,135.185
226,2,6.97441,140.387,135.185
227,2,6.28149,144.467,135.185
228,2,6.76045,135.307,135.185
229,2,6.06005,131.909,135.185
230,2,5.13837,136.658,135.185
231,2,4.62212,129.905,135.185
232,2,6.66423,137.545,135.185
233,2,5.77798,127.213,135.185
234,2,5.80893,140.282,135.185
235,2,5.29665,129.101,135.185
236,2,4.64738,126.023,135.185
237,2,5.73376,138.414,135.185
238,2,5.40574,135.857,135.185
239,2,5.48645,134.775,135.185
240,2,5.64031,133.103,135.185
241,2,5.64031,138.084,135.185
242,2,6.30095,140.32,135.185
243,2,6.32258,144.544,135.185
244,2,6.51106,129.56,135.185
245,2,6.42943,145.463,135.185
246,2,6.91265,147.972,135.185
247,2,4.29859,131.791,135.185
248,2,5.65472,137.975,135.185
249,2,4.53076,135.763,135.185
250,2,5.97285,138.322,135.185
1,3,5.6937,124.472,135.185
2,3,5.40599,135.546,135.185
3,3,5.44662,132.408,135.185
4,3,5.75974,136.542,135.185
5,3,6.70823,134.833,135.185
6,3,5.74072,134.888,135.185
7,3,6.43032,137.551,135.185
8,3,4.94213,137.662,135.185
9,3,5.69659,141.701,135.185
10,3,6.14467,137.127,135.185
11,3,6.90489,146.493,135.185
12,3,5.39055,133.65,135.185
13,3,5.39146,127.337,135.185
14,3,6.59539,136.911,135.185
15,3,6.27797,125.497,135.185
16,3,5.4914,147.295,135.185
17,3,8.14832,133.839,135.185
18,3,8.14832,137.389,135.185
19,3,5.77267,129.562,135.185
20,3,5.70391,124.506,135.185
21,3,5.70391,132.838,135.185
22,3,6.44473,131.766,135.185
23,3,5.45414,137.818,135.185
24,3,5.41391,137.29,135.185
25,3,6.85119,132.823,135.185
26,3,5.3646,145.573,135.185
27,3,6.40894,137.128,135.185
28,3,5.4688,125.347,135.185
29,3,5.35886,133.459,135.185
30,3,6.73197,133.483,135.185
31,3,7.09478,135.471,135.185
32,3,6.25118,133.893,135.185
33,3,6.41424,134.71,135.185
34,3,5.32087,132.702,135.185
35,3,4.99161,126.901,135.185
36,3,4.99161,138.005,135.185
37,3,5.04826,132.941,135.185
38,3,5.73221,135.643,135.185
39,3,7.53949,137.98,135.185
40,3,6.0631,132.052,135.185
41,3,5.96297,142.15,135.185
42,3,7.51856,136.457,135.185
43,3,7.93573,142.258,135.185
44,3,8.13868,142.074,135.185
45,3,5.30207,130.298,135.185
46,3,6.09257,138.371,135.185
47,3,4.93497,140.39,135.185
48,3,5.21268,141.792,135.185
49,3,5.6802,138.376,135.185
50,3,5.54611,130.777,135.185
51,3,6.11946,135.705,135.185
52,3,5.59389,133.788,135.185
53,3,6.81091,132.58,135.185
54,3,5.60116,130.973,135.185
